AIRPORT_ID,STATE,CITY,IATA_CODE
14120,SD,Pierre,PIR
14122,PA,Pittsburgh,PIT
14150,MI,Pellston,PLN
14193,FL,Pensacola,PNS
14222,TT,Pago Pago,PPG
14231,ME,Presque Isle/Houlton,PQI
14237,AZ,Prescott,PRC
14252,WA,Pasco/Kennewick/Richland,PSC
14254,PR,Ponce,PSE
14256,AK,Petersburg,PSG
14259,NH,Portsmouth,PSM
14262,CA,Palm Springs,PSP
14288,CO,Pueblo,PUB
14303,WA,Pullman,PUW
14307,RI,Providence,PVD
14314,UT,Provo,PVU
14321,ME,Portland,PWM
14457,SD,Rapid City,RAP
14487,CA,Redding,RDD
14489,OR,Bend/Redmond,RDM
14492,NC,Raleigh/Durham,RDU
14512,IL,Rockford,RFD
14520,WI,Rhinelander,RHI
14524,VA,Richmond,RIC
14534,WY,Riverton/Lander,RIW
14543,WY,Rock Springs,RKS
14570,NV,Reno,RNO
14574,VA,Roanoke,ROA
14576,NY,Rochester,ROC
14588,NM,Roswell,ROW
14633,MN,Rochester,RST
14635,FL,Fort Myers,RSW
14674,NM,Santa Fe,SAF
14679,CA,San Diego,SAN
14683,TX,San Antonio,SAT
14685,GA,Savannah,SAV
14689,CA,Santa Barbara,SBA
14696,IN,South Bend,SBN
14698,CA,San Luis Obispo,SBP
14704,MD,Salisbury,SBY
14709,AK,Deadhorse,SCC
14711,PA,State College,SCE
14716,CA,Stockton,SCK
14730,KY,Louisville,SDF
14747,WA,Seattle,SEA
14761,FL,Sanford,SFB
14771,CA,San Francisco,SFO
14783,MO,Springfield,SGF
14794,UT,St. George,SGU
14802,VA,Staunton,SHD
14812,WY,Sheridan,SHR
14814,LA,Shreveport,SHV
14828,AK,Sitka,SIT
14831,CA,San Jose,SJC
14842,TX,San Angelo,SJT
14843,PR,San Juan,SJU
14869,UT,Salt Lake City,SLC
14877,KS,Salina,SLN
14893,CA,Sacramento,SMF
14905,CA,Santa Maria,SMX
14908,CA,Santa Ana,SNA
14952,IL,Springfield,SPI
14955,TT,Saipan,SPN
14960,TX,Wichita Falls,SPS
14986,FL,Sarasota/Bradenton,SRQ
