station_id,airport_id,state,city,IATA_CODE,longitude,latitude,elevation
USW00023174,12892,CA,Los Angeles,LAX,-118.3867,33.9381,29.6
USW00023185,14570,NV,Reno,RNO,-119.7683,39.5078,1342.6
USW00023188,14679,CA,San Diego,SAN,-117.1831,32.7336,4.6
USW00023188,14698,CA,San Luis Obispo,SBP,-117.1831,32.7336,4.6
USW00023188,14771,CA,San Francisco,SFO,-117.1831,32.7336,4.6
USW00023188,14831,CA,San Jose,SJC,-117.1831,32.7336,4.6
USW00023234,14679,CA,San Diego,SAN,-122.3656,37.6197,3.0
USW00023234,14698,CA,San Luis Obispo,SBP,-122.3656,37.6197,3.0
USW00023234,14771,CA,San Francisco,SFO,-122.3656,37.6197,3.0
USW00023234,14831,CA,San Jose,SJC,-122.3656,37.6197,3.0
USW00023190,14689,CA,Santa Barbara,SBA,-119.8425,34.4242,2.4
USW00023190,14905,CA,Santa Maria,SMX,-119.8425,34.4242,2.4
USW00023190,14908,CA,Santa Ana,SNA,-119.8425,34.4242,2.4
USW00023190,15023,CA,Santa Rosa,STS,-119.8425,34.4242,2.4
USW00023213,14689,CA,Santa Barbara,SBA,-122.8111,38.5036,36.3
USW00023213,14905,CA,Santa Maria,SMX,-122.8111,38.5036,36.3
USW00023213,14908,CA,Santa Ana,SNA,-122.8111,38.5036,36.3
USW00023213,15023,CA,Santa Rosa,STS,-122.8111,38.5036,36.3
USW00023273,14689,CA,Santa Barbara,SBA,-120.4522,34.8942,74.1
USW00023273,14905,CA,Santa Maria,SMX,-120.4522,34.8942,74.1
USW00023273,14908,CA,Santa Ana,SNA,-120.4522,34.8942,74.1
USW00023273,15023,CA,Santa Rosa,STS,-120.4522,34.8942,74.1
USW00093184,14689,CA,Santa Barbara,SBA,-117.8675,33.6797,13.1
USW00093184,14905,CA,Santa Maria,SMX,-117.8675,33.6797,13.1
USW00093184,14908,CA,Santa Ana,SNA,-117.8675,33.6797,13.1
USW00093184,15023,CA,Santa Rosa,STS,-117.8675,33.6797,13.1
USW00093197,14689,CA,Santa Barbara,SBA,-118.4472,34.0211,53.3
USW00093197,14905,CA,Santa Maria,SMX,-118.4472,34.0211,53.3
USW00093197,14908,CA,Santa Ana,SNA,-118.4472,34.0211,53.3
USW00093197,15023,CA,Santa Rosa,STS,-118.4472,34.0211,53.3
USW00023195,16218,AZ,Yuma,YUM,-114.6,32.6667,62.8
USW00023230,13796,CA,Oakland,OAK,-122.2331,37.7178,1.5
USW00023232,14893,CA,Sacramento,SMF,-121.4961,38.5067,5.8
USW00093225,14893,CA,Sacramento,SMF,-121.5947,38.7006,7.3
USW00023237,14716,CA,Stockton,SCK,-121.2264,37.89,8.2
USW00023259,13476,CA,Monterey,MRY,-121.8489,36.5903,48.8
USW00024013,13433,ND,Minot,MOT,-101.2689,48.2519,505.1
USW00024022,12888,WY,Laramie,LAR,-105.6728,41.3164,2216.8
USW00024025,14120,SD,Pierre,PIR,-100.2864,44.3819,524.0
USW00024027,14543,WY,Rock Springs,RKS,-109.0528,41.5947,2059.8
USW00024028,10558,NE,Scottsbluff,BFF,-103.6011,41.8747,1206.1
USW00024029,14812,WY,Sheridan,SHR,-106.9742,44.7603,1210.4
USW00024033,10620,MT,Billings,BIL,-108.5461,45.8072,1094.2
