type,elevation_ft,iata_code
small_airport,2275,NA
heliport,272,NA
small_airport,4180,NA
small_airport,130,NA
small_airport,71,NA
small_airport,230,NA
seaplane_base,1110,NA
small_airport,820,NA
small_airport,3835,NA
small_airport,880,NA
small_airport,850,NA
heliport,874,NA
small_airport,970,NA
heliport,531,NA
heliport,2,NA
small_airport,1000,NA
heliport,181,NA
small_airport,403,NA
heliport,2628,NA
small_airport,260,NA
heliport,842,NA
small_airport,1210,NA
small_airport,5060,NA
small_airport,450,NA
small_airport,310,NA
small_airport,1250,NA
heliport,100,NA
small_airport,561,NA
heliport,2374,NA
heliport,254,NA
small_airport,700,NA
heliport,487,NA
small_airport,1780,NA
heliport,480,NA
small_airport,2614,NA
small_airport,923,NA
small_airport,787,NA
heliport,924,NA
small_airport,3100,NA
small_airport,2522,NA
small_airport,2375,NA
heliport,1390,NA
heliport,10,NA
heliport,2081,NA
small_airport,705,NA
heliport,710,NA
seaplane_base,687,NA
heliport,292,NA
small_airport,65,NA
small_airport,800,NA
small_airport,463,NA
small_airport,81,NA
small_airport,250,NA
small_airport,1580,NA
small_airport,1800,NA
small_airport,18,NA
small_airport,110,NA
heliport,619,NA
small_airport,97,NA
heliport,1040,NA
heliport,295,NA
heliport,870,NA
small_airport,247,NA
heliport,155,NA
heliport,621,NA
heliport,763,NA
small_airport,590,NA
heliport,1352,NA
small_airport,217,NA
heliport,1251,NA
heliport,382,NA
heliport,547,NA
heliport,437,NA
heliport,1540,NA
heliport,1161,NA
small_airport,1930,NA
small_airport,1505,NA
small_airport,2080,NA
heliport,1213,NA
small_airport,124,NA
small_airport,1470,NA
small_airport,1000,NA
small_airport,760,NA
small_airport,960,NA
small_airport,727,NA
small_airport,640,NA
heliport,320,NA
heliport,294,NA
small_airport,570,NA
small_airport,660,NA
small_airport,3100,NA
small_airport,480,NA
small_airport,1140,NA
heliport,5000,NA
heliport,4356,NA
small_airport,5800,NA
heliport,5120,NA
small_airport,5686,NA
heliport,5204,NA
small_airport,5135,NA
heliport,3575,NA
heliport,5563,NA
small_airport,500,NA
small_airport,3042,NA
small_airport,490,NA
heliport,770,NA
heliport,46,NA
small_airport,2410,NA
heliport,473,NA
small_airport,2510,NA
heliport,1482,NA
small_airport,140,NA
small_airport,67,NA
heliport,5047,NA
small_airport,5170,NA
small_airport,8980,CSE
heliport,4935,NA
small_airport,8000,NA
heliport,4935,NA
small_airport,5010,NA
small_airport,7613,NA
heliport,640,NA
heliport,350,NA
heliport,330,NA
heliport,431,NA
heliport,400,NA
heliport,184,NA
heliport,113,NA
heliport,80,NA
heliport,510,NA
heliport,211,NA
small_airport,949,NA
small_airport,1170,NA
small_airport,1020,NA
heliport,6,NA
small_airport,65,NA
heliport,57,NA
heliport,24,NA
seaplane_base,66,NA
heliport,72,NA
small_airport,40,NA
heliport,20,NA
heliport,8,NA
small_airport,70,NA
small_airport,235,NA
seaplane_base,NA,NA
small_airport,290,NA
small_airport,30,NA
seaplane_base,19,NA
heliport,25,NA
heliport,110,NA
seaplane_base,80,NA
small_airport,96,NA
heliport,114,NA
seaplane_base,NA,NA
small_airport,18,NA
small_airport,588,NA
seaplane_base,1635,NA
small_airport,800,NA
small_airport,693,NA
small_airport,720,NA
small_airport,1287,NA
small_airport,736,NA
heliport,1475,NA
small_airport,780,NA
small_airport,200,NA
small_airport,505,NA
small_airport,1085,NA
small_airport,327,NA
small_airport,563,NA
small_airport,860,NA
small_airport,1438,NA
small_airport,450,NA
small_airport,230,NA
small_airport,700,NA
small_airport,645,NA
seaplane_base,838,NA
heliport,927,NA
heliport,1300,NA
heliport,1320,NA
small_airport,700,NA
small_airport,1060,NA
heliport,1300,NA
small_airport,925,NA
heliport,725,NA
small_airport,4861,NA
small_airport,3225,NA
small_airport,5600,NA
small_airport,3150,NA
small_airport,4020,NA
small_airport,3130,NA
heliport,4004,NA
small_airport,3820,NA
small_airport,3800,NA
small_airport,2895,NA
small_airport,955,NA
small_airport,820,NA
small_airport,705,NA
small_airport,900,NA
small_airport,740,NA
small_airport,755,NA
heliport,440,NA
heliport,623,NA
small_airport,541,NA
heliport,772,NA
heliport,849,NA
heliport,852,NA
small_airport,682,NA
small_airport,890,NA
small_airport,880,NA
small_airport,400,NA
small_airport,835,NA
small_airport,750,NA
small_airport,800,NA
small_airport,390,NA
heliport,664,NA
heliport,678,NA
small_airport,630,NA
heliport,383,NA
heliport,650,NA
heliport,830,NA
small_airport,468,NA
small_airport,85,NA
heliport,943,NA
small_airport,610,NA
small_airport,1180,NA
small_airport,1065,NA
small_airport,1914,NA
small_airport,1450,NA
small_airport,950,NA
small_airport,1330,NA
small_airport,890,NA
small_airport,504,NA
small_airport,427,NA
small_airport,600,NA
small_airport,360,NA
small_airport,4684,NA
small_airport,5680,NA
heliport,140,NA
heliport,10,NA
small_airport,15,NA
small_airport,280,NA
heliport,200,NA
heliport,3,NA
heliport,6,NA
heliport,183,NA
small_airport,74,NA
small_airport,783,NA
small_airport,604,NA
small_airport,700,NA
small_airport,614,NA
small_airport,664,NA
small_airport,675,NA
small_airport,710,NA
heliport,670,NA
small_airport,13,NA
heliport,NA,NA
small_airport,40,NA
small_airport,42,NA
small_airport,36,NA
small_airport,34,NA
small_airport,72,NA
heliport,214,NA
heliport,450,NA
heliport,100,NA
heliport,19,NA
heliport,85,NA
heliport,9,NA
heliport,1230,NA
heliport,77,NA
small_airport,75,NA
small_airport,16,NA
small_airport,47,NA
small_airport,750,NA
heliport,20,NA
heliport,30,NA
heliport,143,NA
small_airport,271,NA
seaplane_base,266,NA
small_airport,940,NA
small_airport,1000,NA
small_airport,1120,NA
small_airport,800,NA
heliport,603,NA
small_airport,1275,NA
heliport,633,NA
seaplane_base,690,NA
seaplane_base,1025,NA
seaplane_base,1230,NA
seaplane_base,1200,NA
small_airport,1365,NA
heliport,1450,NA
heliport,980,NA
small_airport,775,NA
small_airport,920,NA
small_airport,950,NA
heliport,890,NA
small_airport,780,NA
heliport,531,NA
small_airport,437,NA
small_airport,453,NA
small_airport,300,NA
heliport,430,NA
heliport,50,NA
heliport,25,NA
small_airport,154,NA
small_airport,300,NA
small_airport,4070,NA
heliport,2750,NA
heliport,3920,NA
small_airport,3510,NA
small_airport,3350,NA
small_airport,3900,NA
small_airport,2460,NA
heliport,3300,NA
small_airport,3284,NA
small_airport,784,NA
small_airport,1027,NA
heliport,520,NA
heliport,744,NA
small_airport,800,NA
heliport,865,NA
heliport,815,NA
small_airport,1070,NA
small_airport,582,NA
small_airport,1282,NA
heliport,1500,NA
heliport,4925,NA
small_airport,1004,NA
small_airport,22,NA
heliport,30,NA
small_airport,50,NA
small_airport,1045,NA
small_airport,1580,NA
small_airport,2750,NA
heliport,106,NA
heliport,460,NA
heliport,19,NA
heliport,245,NA
heliport,156,NA
heliport,113,NA
small_airport,700,NA
small_airport,830,NA
heliport,465,NA
small_airport,1550,NA
small_airport,2020,NA
small_airport,1961,NA
small_airport,3815,NA
small_airport,3760,NA
heliport,1120,NA
heliport,1950,NA
small_airport,1765,NA
heliport,10,NA
heliport,82,NA
heliport,54,NA
heliport,280,NA
heliport,45,NA
heliport,103,NA
small_airport,1040,NA
small_airport,8,NA
heliport,8,NA
heliport,10,NA
heliport,70,NA
small_airport,1690,NA
small_airport,450,NA
small_airport,800,NA
small_airport,600,NA
heliport,80,NA
small_airport,1280,NA
heliport,470,NA
small_airport,4024,CUS
small_airport,8143,NA
heliport,2745,NA
small_airport,1040,NA
small_airport,260,NA
heliport,507,NA
small_airport,1440,NA
heliport,133,NA
heliport,600,NA
small_airport,940,NA
small_airport,800,NA
seaplane_base,544,NA
small_airport,292,NA
small_airport,356,NA
heliport,983,NA
heliport,1250,NA
heliport,865,NA
heliport,867,NA
small_airport,775,NA
small_airport,1000,NA
small_airport,900,NA
heliport,1012,NA
small_airport,940,NA
small_airport,643,NA
small_airport,860,NA
small_airport,830,NA
small_airport,1056,NA
small_airport,1420,NA
small_airport,730,NA
small_airport,1070,NA
small_airport,1220,NA
heliport,2200,NA
small_airport,1016,NA
heliport,1350,NA
heliport,1200,NA
small_airport,4090,NA
heliport,2125,NA
small_airport,3387,NA
small_airport,275,NA
small_airport,1260,NA
small_airport,1626,NA
small_airport,2213,NA
small_airport,1000,NA
small_airport,670,NA
heliport,252,NA
small_airport,600,NA
small_airport,1207,NA
small_airport,380,NA
small_airport,1500,NA
small_airport,760,NA
heliport,508,NA
heliport,415,NA
small_airport,1335,NA
seaplane_base,757,NA
small_airport,1247,NA
heliport,186,NA
small_airport,960,NA
small_airport,1761,NA
small_airport,1138,NA
small_airport,680,NA
small_airport,1560,NA
small_airport,1560,NA
small_airport,800,NA
small_airport,1980,NA
heliport,660,NA
heliport,485,NA
small_airport,720,NA
heliport,1130,NA
heliport,141,NA
small_airport,10,NA
small_airport,305,NA
small_airport,20,NA
small_airport,940,NA
small_airport,177,NA
small_airport,3984,NA
small_airport,3201,NA
small_airport,2142,NA
small_airport,1200,NA
heliport,1799,NA
small_airport,2872,NA
heliport,1670,NA
heliport,5800,NA
small_airport,2775,NA
small_airport,1900,NA
heliport,5900,NA
heliport,16,NA
small_airport,3487,NA
small_airport,395,NA
heliport,57,NA
small_airport,4702,NA
heliport,8,NA
small_airport,1663,NA
heliport,38,NA
heliport,524,NA
small_airport,501,NA
small_airport,516,NA
small_airport,1452,NA
small_airport,1515,JCY
small_airport,810,NA
seaplane_base,785,NA
small_airport,920,NA
heliport,1000,NA
heliport,790,NA
small_airport,600,NA
small_airport,1125,NA
heliport,975,NA
heliport,745,NA
heliport,1003,NA
small_airport,650,NA
small_airport,410,NA
small_airport,230,NA
heliport,105,NA
small_airport,978,NA
small_airport,81,NA
heliport,150,NA
small_airport,714,NA
small_airport,710,NA
heliport,546,NA
heliport,296,NA
heliport,535,NA
heliport,635,NA
small_airport,550,NA
small_airport,540,NA
small_airport,6662,NA
small_airport,4831,NA
small_airport,7920,NA
small_airport,4618,NA
small_airport,5359,NA
small_airport,5324,NA
small_airport,2617,NA
small_airport,900,NA
small_airport,1020,NA
small_airport,150,NA
small_airport,1219,NA
heliport,178,NA
small_airport,425,NA
small_airport,210,NA
small_airport,8,NA
small_airport,145,NA
seaplane_base,14,NA
seaplane_base,307,NA
heliport,116,NA
small_airport,350,NA
small_airport,254,NA
heliport,1250,NA
heliport,750,NA
heliport,370,NA
heliport,2172,NA
heliport,125,NA
heliport,5,NA
heliport,761,NA
small_airport,1255,NA
small_airport,910,NA
heliport,1040,NA
small_airport,810,NA
small_airport,755,NA
small_airport,805,NA
small_airport,760,NA
